,averagerating,numvotes,original_title,start_year,runtime_minutes,genres,ordering,nconst,category,job,characters,directors,writers,is_comedy,is_action,is_horror,is_romance,studio,domestic_gross,foreign_gross,year,id,release_date,production_budget,domestic_gross_tn,worldwide_gross
Mud,7.4,156786,Mud,2012,130.0,['Drama'],4.0,nm0001731,actor,,"[""Tom""]",nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,7.4,156786,Mud,2012,130.0,['Drama'],5.0,nm2158772,director,,,nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,7.4,156786,Mud,2012,130.0,['Drama'],6.0,nm3121055,producer,producer,,nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,7.4,156786,Mud,2012,130.0,['Drama'],7.0,nm0338320,producer,producer,,nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,7.4,156786,Mud,2012,130.0,['Drama'],8.0,nm0753083,producer,producer,,nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,7.4,156786,Mud,2012,130.0,['Drama'],9.0,nm0935060,composer,,,nm2158772,nm2158772,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],1.0,nm5374861,actress,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],2.0,nm3184979,actor,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],3.0,nm3690207,actor,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],4.0,nm5374420,actress,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],5.0,nm1879025,director,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Mud,6.5,41,Fango,2012,105.0,['Drama'],6.0,nm3043040,cinematographer,,,nm1879025,nm1879025,False,False,False,False,RAtt.,21600000.0,11000000,2013.0,98.0,"Apr 26, 2013","$10,000,000","$21,590,086","$31,556,959"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",10.0,nm0065100,composer,,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",1.0,nm0315041,actor,,"[""Dominic Badguy""]",nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",2.0,nm0123092,actor,,"[""Jean Pierre Napoleon""]",nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",3.0,nm0275486,actress,,"[""Nadya""]",nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",4.0,nm0926209,actor,,"[""Kermit the Frog"",""Foo Foo"",""Statler""]",nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",5.0,nm0090386,director,,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",6.0,nm0831557,writer,written by,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",7.0,nm0001345,writer,based on,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",8.0,nm0387674,producer,producer,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Muppets Most Wanted,6.4,29018,Muppets Most Wanted,2014,107.0,"['Adventure', 'Comedy', 'Crime']",9.0,nm0509414,producer,producer,,nm0090386,"nm0090386,nm0831557,nm0001345",True,False,False,False,BV,51200000.0,29200000,2014.0,20.0,"Mar 21, 2014","$55,000,000","$51,178,893","$79,312,301"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],10.0,nm4219921,cinematographer,director of photography,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],1.0,nm7322143,actress,,"[""Lale""]",nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],2.0,nm7322144,actress,,"[""Nur""]",nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],3.0,nm7322145,actress,,"[""Selma""]",nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],4.0,nm2379003,actress,,"[""Ece""]",nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],5.0,nm2197025,director,,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],6.0,nm1356951,writer,written by,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],7.0,nm0318570,producer,producer,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],8.0,nm0255145,composer,,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
Mustang,7.6,30899,Mustang,2015,97.0,['Drama'],9.0,nm2166084,cinematographer,director of photography,,nm2197025,"nm2197025,nm1356951",False,False,False,False,Cohen,845000.0,,2015.0,21.0,"Nov 20, 2015","$1,400,000","$845,464","$5,552,584"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",10.0,nm0002681,cinematographer,,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",1.0,nm0889522,actress,,"[""Toula""]",nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",2.0,nm0179173,actor,,"[""Ian""]",nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",3.0,nm0176073,actor,,"[""Gus""]",nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",4.0,nm0443577,actress,,"[""Maria""]",nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",5.0,nm0428600,director,,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",6.0,nm0324556,producer,producer,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",7.0,nm0000158,producer,producer,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",8.0,nm0001854,producer,producer,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Big Fat Greek Wedding 2,6.0,25933,My Big Fat Greek Wedding 2,2016,94.0,"['Comedy', 'Romance']",9.0,nm0501999,composer,,,nm0428600,nm0889522,True,False,False,True,Uni.,59700000.0,29200000,2016.0,77.0,"Mar 25, 2016","$18,000,000","$59,689,605","$92,096,558"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",10.0,nm0574097,editor,,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",1.0,nm1302735,actor,,"[""Bug""]",nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",2.0,nm1910274,actor,,"[""Alex""]",nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",3.0,nm1091701,actor,,"[""Jerome""]",nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",4.0,nm0340720,actress,,"[""Penelope""]",nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",5.0,nm0000127,director,,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",6.0,nm0441097,producer,producer,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",7.0,nm0479757,producer,producer,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",8.0,nm0001937,composer,,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Soul to Take,4.8,18381,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",9.0,nm1134158,cinematographer,director of photography,,nm0000127,nm0000127,False,False,True,False,Uni.,14700000.0,6200000,2010.0,68.0,"Oct 8, 2010","$25,000,000","$14,744,435","$16,727,470"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",10.0,nm0691100,composer,,,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",1.0,nm0931329,actress,,"[""Marilyn Monroe""]",nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",2.0,nm1519666,actor,,"[""Colin Clark""]",nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",3.0,nm0000110,actor,,"[""Sir Laurence Olivier""]",nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",4.0,nm0000566,actress,,"[""Vivien Leigh""]",nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",5.0,nm0193508,director,,,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",6.0,nm0388130,writer,screenplay,,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",7.0,nm1133610,writer,"books ""My Week with Marilyn"" and ""The Prince, the Showgirl and Me",,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",8.0,nm0661406,producer,producer,,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
My Week with Marilyn,7.0,79337,My Week with Marilyn,2011,99.0,"['Biography', 'Drama']",9.0,nm0005544,producer,producer,,nm0193508,"nm0388130,nm1133610",False,False,False,False,Wein.,14600000.0,20500000,2011.0,22.0,"Nov 23, 2011","$10,000,000","$14,597,405","$34,240,572"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",10.0,nm0003659,cinematographer,director of photography,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",1.0,nm0001136,actor,,"[""Woody Grant""]",nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",2.0,nm0287182,actor,,"[""David Grant""]",nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",3.0,nm0820053,actress,,"[""Kate Grant""]",nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",4.0,nm0644022,actor,,"[""Ross Grant""]",nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",5.0,nm0668247,director,,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",6.0,nm1504572,writer,written by,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",7.0,nm0074100,producer,producer,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",8.0,nm0947695,producer,producer,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Nebraska,7.7,105304,Nebraska,2013,115.0,"['Adventure', 'Comedy', 'Drama']",9.0,nm0651366,composer,,,nm0668247,nm1504572,True,False,False,False,Par.,17700000.0,10000000,2013.0,91.0,"Nov 15, 2013","$12,000,000","$17,654,912","$24,761,360"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",10.0,nm0299115,composer,,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",1.0,nm0666739,actor,,"[""Tobey Marshall""]",nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",2.0,nm1002641,actor,,"[""Dino Brewster""]",nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",3.0,nm1782299,actress,,"[""Julia Maddon""]",nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",4.0,nm3264596,actor,,"[""Benny""]",nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",5.0,nm0915304,director,,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",6.0,nm1038345,writer,screenplay,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",7.0,nm0309691,writer,story,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",8.0,nm4918858,producer,producer,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Need for Speed,6.5,154909,Need for Speed,2014,132.0,"['Action', 'Crime', 'Thriller']",9.0,nm0815931,producer,producer,,nm0915304,"nm1038345,nm0309691",False,True,False,False,BV,43600000.0,159700000,2014.0,70.0,"Mar 14, 2014","$66,000,000","$43,568,507","$194,169,619"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],10.0,nm0028787,composer,,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],1.0,nm0736622,actor,,"[""Mac Radner""]",nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],2.0,nm0126284,actress,,"[""Kelly Radner""]",nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],3.0,nm1374980,actor,,"[""Teddy Sanders""]",nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],4.0,nm0001435,actress,,"[""Dean Carol Gladstone""]",nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],5.0,nm0831557,director,,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],6.0,nm1157527,writer,written by,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],7.0,nm1895993,writer,written by,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],8.0,nm1698571,producer,producer,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,6.3,266020,Neighbors,2014,97.0,['Comedy'],9.0,nm4384917,producer,producer,,nm0831557,"nm1157527,nm1895993",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,7.6,18,Neighbors,2018,90.0,"['Comedy', 'Drama']",10.0,nm2354275,composer,composer,,nm10307264,"nm10307264,nm9783168",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,7.6,18,Neighbors,2018,90.0,"['Comedy', 'Drama']",1.0,nm7431180,actor,,,nm10307264,"nm10307264,nm9783168",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,7.6,18,Neighbors,2018,90.0,"['Comedy', 'Drama']",2.0,nm0157207,actor,,,nm10307264,"nm10307264,nm9783168",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
Neighbors,7.6,18,Neighbors,2018,90.0,"['Comedy', 'Drama']",3.0,nm2198906,actor,,,nm10307264,"nm10307264,nm9783168",True,False,False,False,Uni.,150200000.0,120500000,2014.0,64.0,"May 9, 2014","$18,000,000","$150,086,800","$270,944,428"
